epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.5256,0.26708,31.1452,0.15765,0,0,0,0,0,10.3359,0,0,0,0
2,1.89217,0.04168,31.3368,0.02627,0,0,0,0,0,10.3359,0,1.9604e-05,1.9604e-05,1.9604e-05
3,2.1999,0.5787,31.6738,0.3371,0,0,0,0,0,10.3359,0,3.8416e-05,3.8416e-05,3.8416e-05
4,2.60552,1.77867,32.6806,1.04327,0,0,0,0,0,10.3359,0,5.6436e-05,5.6436e-05,5.6436e-05
5,2.89415,2.06704,32.3543,1.19098,0,0,0,0,0,10.3359,0,7.3664e-05,7.3664e-05,7.3664e-05
6,3.18739,1.75467,31.8841,1.04107,0,0,0,0,0,10.3359,0,9.01e-05,9.01e-05,9.01e-05
7,3.48133,3.35833,33.6116,1.947,0,0,0,0,0,10.3359,0,0.000105744,0.000105744,0.000105744
8,3.8566,1.90563,32.8352,1.10968,0,0,0,0,0,10.3359,0,0.000120596,0.000120596,0.000120596
9,4.31853,1.0557,30.7692,0.61138,0,0,0,0,0,10.3359,0,0.000134656,0.000134656,0.000134656
10,4.77847,0.45052,30.1198,0.26082,0,0,0,0,0,10.3359,0,0.000147924,0.000147924,0.000147924
11,5.23522,0.00478,29.6706,0.00274,0,0,0,0,0,10.3359,0,0.0001604,0.0001604,0.0001604
12,5.86134,0.75931,29.7828,0.45023,0,0,0,0,0,10.3359,0,0.000172084,0.000172084,0.000172084
13,6.3182,1.0807,29.4469,0.61203,0,0,0,0,0,10.3359,0,0.000182976,0.000182976,0.000182976
14,6.77041,2.68701,29.9467,1.5378,0,0,0,0,0,10.3359,0,0.000193076,0.000193076,0.000193076
15,7.29086,0.02255,28.1813,0.01257,0,0,0,0,0,10.3359,0,0.000202384,0.000202384,0.000202384
16,7.72413,0.35075,28.1362,0.19828,0,0,0,0,0,10.3359,0,0.0002109,0.0002109,0.0002109
17,8.12873,0.51633,27.5598,0.29396,0,0,0,0,0,10.3359,0,0.000218624,0.000218624,0.000218624
18,8.51233,2.89864,28.2267,1.6625,0,0,0,0,0,10.3359,0,0.000225556,0.000225556,0.000225556
19,8.95269,0.004,26.8669,0.0022,0,0,0,0,0,10.3359,0,0.000231696,0.000231696,0.000231696
20,9.36403,0.30912,26.4887,0.16561,0,0,0,0,0,10.3359,0,0.000237044,0.000237044,0.000237044
21,9.80424,0.14615,26.6028,0.07865,0,0,0,0,0,10.3359,0,0.0002416,0.0002416,0.0002416
22,10.2422,0.05739,25.9639,0.03338,0,0,0,0,0,10.3359,0,0.000245364,0.000245364,0.000245364
23,10.6821,2.45811,27.3569,1.38246,0,0,0,0,0,10.3359,0,0.000248336,0.000248336,0.000248336
24,11.3687,1.7296,26.2402,0.93343,0,0,0,0,0,10.3359,0,0.000250516,0.000250516,0.000250516
25,11.7759,1.16101,26.0174,0.63058,0,0,0,0,0,10.3359,0,0.000251904,0.000251904,0.000251904
26,12.2143,4.06693,26.7185,2.11661,0,0,0,0,0,10.3359,0,0.0002525,0.0002525,0.0002525
27,12.664,1.4334,25.5899,0.73973,0,0,0,0,0,10.3359,0,0.000252304,0.000252304,0.000252304
28,13.0705,0.01661,24.4121,0.00862,0,0,0,0,0,10.3359,0,0.000251316,0.000251316,0.000251316
29,13.5214,0.32673,24.3378,0.1747,0,0,0,0,0,10.3359,0,0.000249536,0.000249536,0.000249536
30,13.9527,0.70865,23.9752,0.40456,0,0,0,0,0,10.3359,0,0.000246964,0.000246964,0.000246964
31,14.4172,1.59335,24.9089,0.83349,0,0,0,0,0,10.3359,0,0.0002436,0.0002436,0.0002436
32,14.8844,5.01682,26.1047,2.51231,0,0,0,0,0,10.3359,0,0.000239444,0.000239444,0.000239444
33,15.4212,0.39787,23.4111,0.22039,0,0,0,0,0,10.3359,0,0.000234496,0.000234496,0.000234496
34,15.843,0.02753,23.2439,0.01296,0,0,0,0,0,10.3359,0,0.000228756,0.000228756,0.000228756
35,16.292,0.1861,23.0524,0.10049,0,0,0,0,0,10.3359,0,0.000222224,0.000222224,0.000222224
36,16.8319,0.22209,22.8596,0.11319,0,0,0,0,0,10.3359,0,0.0002149,0.0002149,0.0002149
37,17.3546,6.06697,25.9491,2.90606,0,0,0,0,0,10.3359,0,0.000206784,0.000206784,0.000206784
38,17.7814,4e-05,22.0375,2e-05,0,0,0,0,0,10.3359,0,0.000197876,0.000197876,0.000197876
39,18.2086,0.04933,23.012,0.02352,0,0,0,0,0,10.3359,0,0.000188176,0.000188176,0.000188176
40,18.6306,7.00508,17.7755,3.44398,0,0,0,0,0,10.3359,0,0.000177684,0.000177684,0.000177684
41,31.4539,5.64328,25.5868,2.76674,0,0,0,0,0,10.3359,0,0.0001664,0.0001664,0.0001664
42,31.9267,6.78439,25.6766,3.25599,0,0,0,0,0,10.3359,0,0.000154324,0.000154324,0.000154324
43,32.4513,5.00702,24.6557,2.34881,0,0,0,0,0,10.3359,0,0.000141456,0.000141456,0.000141456
44,32.9592,0.97081,22.3074,0.43426,0,0,0,0,0,10.3359,0,0.000127796,0.000127796,0.000127796
45,33.5175,6.52094,24.9165,3.18832,0,0,0,0,0,10.3359,0,0.000113344,0.000113344,0.000113344
46,34.1176,6.93887,15.0251,3.11596,0,0,0,0,0,10.3359,0,9.81e-05,9.81e-05,9.81e-05
47,34.6008,4.19311,23.8692,1.86708,0,0,0,0,0,10.3359,0,8.2064e-05,8.2064e-05,8.2064e-05
48,35.0063,6.93476,23.8125,3.15783,0,0,0,0,0,10.3359,0,6.5236e-05,6.5236e-05,6.5236e-05
49,35.4406,2.78807,22.6584,1.29052,0,0,0,0,0,10.3359,0,4.7616e-05,4.7616e-05,4.7616e-05
50,35.8849,5.31575,24.3078,2.47101,0,0,0,0,0,10.3359,0,2.9204e-05,2.9204e-05,2.9204e-05
