                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1433,                  38.12,                0.67682,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,                      0,                      0,                      0
                      2,                0.18758,                 38.008,                0.11136,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.6769,                 39.626,                 1.5722,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 5.8835,                 41.308,                 3.4688,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 6.0275,                 41.406,                 3.5661,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 5.3723,                 40.644,                 3.1378,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                  7.092,                 38.437,                 4.2161,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00011287,             0.00011287,             0.00011287
                      8,                  6.098,                 39.791,                 3.6176,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0001303,              0.0001303,              0.0001303
                      9,                 3.6003,                 38.333,                 2.1058,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.6154,                 37.316,                0.94168,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00016396,             0.00016396,             0.00016396
                     11,                0.03918,                 35.986,                0.02293,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0001802,              0.0001802,              0.0001802
                     12,                 3.5751,                 37.821,                 2.3078,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00019604,             0.00019604,             0.00019604
                     13,                 4.0223,                 37.364,                 2.2804,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00021149,             0.00021149,             0.00021149
                     14,                 7.1148,                 38.283,                 4.1422,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00022654,             0.00022654,             0.00022654
                     15,                0.10341,                 34.784,                0.05832,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00024119,             0.00024119,             0.00024119
                     16,                 1.4759,                 35.567,                0.82992,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00025545,             0.00025545,             0.00025545
                     17,                 1.7757,                 35.164,                 1.0353,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00026931,             0.00026931,             0.00026931
                     18,                 7.1325,                 34.019,                 4.1821,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00028278,             0.00028278,             0.00028278
                     19,                0.01415,                 33.591,                0.00805,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00029585,             0.00029585,             0.00029585
                     20,                 1.2273,                 34.155,                0.66979,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00030852,             0.00030852,             0.00030852
                     21,                0.62297,                 33.264,                0.33512,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0003208,              0.0003208,              0.0003208
                     22,                0.65452,                 33.162,                0.34677,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00033268,             0.00033268,             0.00033268
                     23,                 7.1439,                 35.542,                 4.1371,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00034417,             0.00034417,             0.00034417
                     24,                 7.0747,                 30.171,                 3.7949,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00035526,             0.00035526,             0.00035526
                     25,                 3.6244,                  34.33,                 2.0548,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00036595,             0.00036595,             0.00036595
                     26,                 6.9785,                 25.278,                 3.6143,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00037625,             0.00037625,             0.00037625
                     27,                 5.4139,                 34.104,                 2.6468,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00038615,             0.00038615,             0.00038615
                     28,                0.05859,                 31.425,                0.03103,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00039566,             0.00039566,             0.00039566
                     29,                 2.0245,                 31.246,                 1.0891,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00040477,             0.00040477,             0.00040477
                     30,                 3.0028,                 31.653,                 1.6735,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00041348,             0.00041348,             0.00041348
                     31,                 5.4013,                 33.132,                 2.6771,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0004218,              0.0004218,              0.0004218
                     32,                 6.8799,                  20.43,                 3.3187,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00042972,             0.00042972,             0.00042972
                     33,                 2.7633,                 30.644,                 1.4329,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00043725,             0.00043725,             0.00043725
                     34,                 0.1264,                 29.305,                0.06494,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00044438,             0.00044438,             0.00044438
                     35,                 1.3889,                 28.814,                0.68463,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.0879,                 29.126,                0.55162,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00045745,             0.00045745,             0.00045745
                     37,                 6.5415,                 19.859,                 3.3063,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00046339,             0.00046339,             0.00046339
                     38,                0.00016,                 27.901,                  8e-05,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.2178,                 28.067,                0.53739,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00047409,             0.00047409,             0.00047409
                     40,                 6.1246,                 10.749,                 3.1279,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,             0.00047884,             0.00047884,             0.00047884
                     41,                 6.2424,                 11.514,                 2.9516,                      0,                      0,                      0,                      0,                      0,                 12.266,                      0,              0.0004832,              0.0004832,              0.0004832
